video_id,titulo,data_publicacao,visualizacoes,curtidas,comentarios,duracao,thumbnail,descricao,tags,canal
cFM_6zb35rI,Race Highlights | 2024 Dutch Grand Prix,2024-08-25 15:27:57,5887241,114762,3549,0:08:01,https://i.ytimg.com/vi/cFM_6zb35rI/hqdefault.jpg,"Watch all the best bits from Zandvoort as Lando Norris scores a second career win to end Max Verstappen's home dominance, and the likes of Carlos Sainz and Lewis Hamilton storm through the field.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,dutch grand prix,2024 dutch grand prix,dutch gp,lando norris",FORMULA 1
pQaG0ay957M,Race Highlights | 2024 Belgian Grand Prix,2024-07-28 15:48:59,7038339,132823,6338,0:08:09,https://i.ytimg.com/vi/pQaG0ay957M/hqdefault.jpg,"Catch up on all the key moments from the Belgian Grand Prix; a race filled with big strategy calls and a thrilling late-race chase. Read the full story about George Russell's disqualification 👉
https://f1.com/Belgium_Russell_Disqualified

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #BelgianGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
YJ0NYHONwts,Race Highlights | 2024 Hungarian Grand Prix,2024-07-21 15:54:52,9354056,163312,11673,0:08:10,https://i.ytimg.com/vi/YJ0NYHONwts/hqdefault.jpg,"Oscar Piastri takes his first Grand Prix victory, there's strategy tension at McLaren, and Lewis Hamilton and Max Verstappen collide. Catch up on the key moments from a dramatic Hungarian Grand Prix!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #HungarianGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
yPvoKz6tyJs,Race Highlights | 2024 British Grand Prix,2024-07-07 16:26:31,7828303,180507,7842,0:08:06,https://i.ytimg.com/vi/yPvoKz6tyJs/hqdefault.jpg,"Catch up on the key moments from a thrilling British Grand Prix which was filled with incredible drama from lights out to the final flag!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #BritishGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
b0yb1zH2m7c,Race Highlights | 2024 Austrian Grand Prix,2024-06-30 15:51:56,6457631,126960,6980,0:08:01,https://i.ytimg.com/vi/b0yb1zH2m7c/hqdefault.jpg,"High risk, high pressure... re-live one of the races of the season! 

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #AustrianGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
ojUQLuSqV4s,Race Highlights | 2024 Spanish Grand Prix,2024-06-23 15:22:49,5564354,107229,3554,0:08:01,https://i.ytimg.com/vi/ojUQLuSqV4s/hqdefault.jpg,"Relive all the best moments from Barcelona, in a race that was loaded with tension and fierce battles for a spot on the podium!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SpanishGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,2024 Spanish Grand Prix,Spanish Grand Prix,Spanish,Spain,SpainGP,Spanish GP,Barcelona",FORMULA 1
dLw1ao4-Akk,Race Highlights | 2024 Canadian Grand Prix,2024-06-09 22:04:55,6731808,125491,4395,0:08:11,https://i.ytimg.com/vi/dLw1ao4-Akk/hqdefault.jpg,"Wet weather and a three-way fight for victory provided us with an absolute classic in Canada!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #CanadianGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
aeCI0ObFY8M,Race Highlights | 2024 Monaco Grand Prix,2024-05-26 16:21:02,9766228,177876,6865,0:08:08,https://i.ytimg.com/vi/aeCI0ObFY8M/hqdefault.jpg,"Catch up on the key moments from a thrilling 70th Monaco Grand Prix that was brimming with action and excitement.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #MonacoGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,Charles Leclerc,Ferrari,2024 Monaco Grand Prix,Monaco Grand Prix,Monaco,Monaco GP",FORMULA 1
wya4iAJLlzs,Race Highlights | 2024 Emilia Romagna Grand Prix,2024-05-19 15:15:29,5765115,105017,3640,0:08:01,https://i.ytimg.com/vi/wya4iAJLlzs/hqdefault.jpg,"After a two-year wait, we finally return to racing action at Imola, with a race that went right down the final lap!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #ImolaGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
9wiQqcKUahc,Race Highlights | 2024 Miami Grand Prix,2024-05-05 22:46:55,7805184,183810,6467,0:08:08,https://i.ytimg.com/vi/9wiQqcKUahc/hqdefault.jpg,"Catch up on the key moments from a thrilling race in Miami which was filled with incredible drama and so much more.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
hh4prBn66Dc,Race Highlights | 2024 Chinese Grand Prix,2024-04-21 09:54:18,6957676,119654,4638,0:08:10,https://i.ytimg.com/vi/hh4prBn66Dc/hqdefault.jpg,"Catch up on the key moments from Shanghai - a race featuring a first home Grand Prix for Zhou Guanyu, plenty of overtakes and much more.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #ChineseGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,2024 Chinese Grand Prix,Chinese Grand Prix,Chinese,China,ChinaGP,Chinese GP,Shanghai",FORMULA 1
Z3-IulIyBtU,Race Highlights | 2024 Japanese Grand Prix,2024-04-07 07:32:56,7539170,134768,4776,0:08:02,https://i.ytimg.com/vi/Z3-IulIyBtU/hqdefault.jpg,"Check out the best moments of the 2024 Japanese Grand Prix - a race featuring a dramatic start, memorable overtakes and much more!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,2024 Japanese Grand Prix,Japanese Grand Prix,Japanese,Japan,JapanGP,Japanese GP,Suzuka",FORMULA 1
9z8sEadieXA,Race Highlights | 2024 Australian Grand Prix,2024-03-24 06:25:42,10035509,210862,7052,0:08:15,https://i.ytimg.com/vi/9z8sEadieXA/hqdefault.jpg,"Catch highlights of a chaotic race in Australia, with shock retirements, incredible racing and a memorable winning drive.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,2024 Australian Grand Prix,Australian Grand Prix,Australian,Australia,AusGP,Australian GP,Melbourne",FORMULA 1
OJ56MAGFPGM,Race Highlights | 2024 Saudi Arabian Grand Prix,2024-03-09 18:58:37,6801252,124495,5151,0:08:07,https://i.ytimg.com/vi/OJ56MAGFPGM/hqdefault.jpg,"Get ready for the thrill of the Saudi Arabian Grand Prix! Watch as Max Verstappen continues his title defence. But keep an eye on rookie Oliver Bearman, who’s looking to score points in his F1 debut!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,Oliver Bearman",FORMULA 1
9Y5wMpKXNK4,Race Highlights | 2024 Bahrain Grand Prix,2024-03-02 17:20:52,6661130,134303,8861,0:07:22,https://i.ytimg.com/vi/9Y5wMpKXNK4/hqdefault.jpg,"Lunges, lockups and intra-team tussles - watch the best moments from the 2024 season opener in Bahrain.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
